e_field charge_filename light_filename charge_thresholds light_samples
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_54_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_04_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_14_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_24_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_34_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_44_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_55_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_03_05_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_03_15_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_03_25_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_03_35_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_03_45_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_03_55_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_04_05_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_04_15_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_04_25_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_04_35_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_04_45_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_04_55_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_05_05_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_05_15_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_05_25_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_05_36_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_05_46_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_05_56_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_06_06_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_06_16_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_06_26_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_06_36_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_06_46_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_06_56_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_07_06_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_07_16_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_07_26_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_07_36_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_07_46_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_08_06_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_08_16_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_08_27_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_08_37_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_08_47_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_08_57_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_09_07_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_09_17_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_09_27_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_09_37_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_09_47_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_09_57_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_10_07_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_10_17_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_10_27_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_10_37_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_10_47_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_10_57_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_11_08_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_11_18_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_11_28_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_11_38_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_11_58_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_12_08_CET.h5 - medm 1024
50.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_12_28_CET.h5 - medm 1024
50.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_12_38_CET.h5 - medm 1024
100.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_12_58_CET.h5 - medm 1024
100.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_13_08_CET.h5 - medm 1024
150.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_13_28_CET.h5 - medm 1024
150.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_13_38_CET.h5 - medm 1024
200.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_13_59_CET.h5 - medm 1024
200.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_14_09_CET.h5 - medm 1024
250.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_14_29_CET.h5 - medm 1024
250.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_14_39_CET.h5 - medm 1024
300.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_14_59_CET.h5 - medm 1024
300.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_15_09_CET.h5 - medm 1024
400.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_15_29_CET.h5 - medm 1024
400.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_15_39_CET.h5 - medm 1024
450.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_15_59_CET.h5 - medm 1024
450.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_16_09_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_16_29_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_16_40_CET.h5 - medm 1024
550.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_17_00_CET.h5 - medm 1024
550.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_17_10_CET.h5 - medm 1024
600.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_17_30_CET.h5 - medm 1024
600.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_17_40_CET.h5 - medm 1024
650.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_18_00_CET.h5 - medm 1024
650.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_18_10_CET.h5 - medm 1024
700.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_18_30_CET.h5 - medm 1024
700.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_18_40_CET.h5 - medm 1024
